弹幕,时间
九门功课同时补哈哈哈哈哈哈哈,2019-01-22 08:11:03
太真实了,2019-01-25 23:09:06
不是泰勒展开，是泰勒级数,2019-01-29 16:48:21
当年的线代老师可能自己都没有几何直观。。。,2019-02-12 17:35:48
我现在仅有的一点都是做物理时肝出来的。。。,2019-02-12 17:36:08
泰勒,2019-02-14 21:04:31
合集出了！,2019-02-17 11:27:18
太真实了,2019-02-17 11:30:15
喵,2019-02-17 19:32:46
233,2019-03-01 20:48:58
真实,2019-03-05 19:46:36
谢啦,2019-03-05 19:51:49
形象了，教授讲的时候，我的脑子里想的是怎么算出来的,2019-03-10 01:42:24
是我本人了，一起做项目，教授直接猜出答案，我拿着matlab一定要算一下,2019-03-10 01:43:57
果然0.75倍才能跟上,2019-03-21 18:53:44
兴趣数学但很渣的过来学习,2019-03-28 15:22:33
初来乍到，支持支持,2019-03-31 17:55:57
王老师推荐我来的,2019-04-01 20:05:52
过于真实了,2019-04-02 19:23:18
我好像明白了,2019-04-03 16:49:52
好的再见（滑稽,2019-04-03 17:04:56
报分数的请把学校加上，不同学校的水平不一样的,2019-04-04 10:00:09
三刷,2019-04-05 13:16:54
我们线性代数老师给你教的就是小学两位数的加减乘除，跟屎一样,2019-04-05 17:38:41
太真实了,2019-04-10 07:31:14
秀啊,2019-04-10 23:13:44
满屏幕的泰勒公式，但却没有人知道牛顿插值法，可悲,2019-04-13 00:04:15
医学生表示前来补习,2019-04-13 16:42:07
太真实了,2019-04-14 13:12:38
0.5倍速食用更佳,2019-04-14 15:22:14
呜呜呜会几何直观不会计算……,2019-04-17 14:06:57
问题是3阶以上的无法直观只能类比推理啊,2019-04-17 14:08:06
慕名而来,2019-04-19 08:57:39
真实。。。,2019-04-24 21:43:34
我大一时学线代考得还行，但到大二项目用到时学到的线代让我觉得我高中大一白学了,2019-04-26 09:22:33
并不能说明，因为这只是一个例子,2019-04-26 09:32:25
泰勒展开,2019-04-27 15:02:12
泰勒展开,2019-05-06 20:47:42
呜呜呜说的太对了，老师只管讲，从来不解释原理是什么，学的时候十分痛苦呜呜呜,2019-05-12 16:09:38
为什么我一个医学生会看这个,2019-05-13 23:08:09
我终于过考试了,2019-05-14 00:49:55
再来亿遍,2019-05-14 20:44:22
另外28个大家好,2019-05-16 19:44:29
太感谢UP主翻译，后天考试赶紧多看看，考不好就完了。。,2019-05-21 08:12:37
青少年模式,2019-05-28 12:28:29
北理机械系，线代95,2019-06-07 13:40:57
我发现0.75倍速度播放刚好能听懂。。。,2019-06-08 20:21:52
有时间可以查一下MIT的线代公开课，讲得非常好,2019-06-10 11:51:40
"暴露年龄的问题,从逆序开始讲的课本吼不吼啊",2019-06-16 21:39:17
.75倍速中,2019-06-18 23:35:28
真的很厉害的呢，啾咪,2019-06-20 11:35:30
真的很厉害的呢，啾咪,2019-06-20 11:35:37
5556666,2019-06-20 11:36:08
66666,2019-06-20 11:37:01
恭喜您，发现了很厉害的东西呢，啾咪,2019-06-20 11:38:06
现在只用投2个币了？不，现在是24个,2019-06-22 17:07:29
翻译皮了,2019-06-22 17:16:24
哭了,2019-06-23 20:42:51
说的对啊哭了,2019-07-03 21:53:31
过于真实,2019-07-05 21:32:27
再来亿遍,2019-07-12 14:01:27
牛顿迭代法,2019-07-18 13:55:25
我有12个，另外12个好！我四年级,2019-07-20 11:26:14
数学专业学生路过,2019-07-21 19:59:43
还没上过课的,2019-07-22 19:36:55
高中党前来学习,2019-07-23 22:01:05
看了微积分来的,2019-07-25 18:50:01
